id,permit_id,city,address,type,description,contractor,issued_date
60511,PB25-17028,fort worth,"400 LEIGHTON CT, Fort Worth TX 76131",Residential Addition Permit,,,2025-12-11
60479,PB25-17007,fort worth,"7501 OAK GROVE RD, Fort Worth TX 76140 United States",Commercial Remodel Building Permit,,,2025-12-11
60471,PB25-17022,fort worth,"1211 ROARING SPRINGS RD, FORT WORTH TX 76114",Residential Remodel Construction Permit,,,2025-12-11
60470,PB25-17034,fort worth,"7901 SOUTH FWY, FORT WORTH TX",Commercial Remodel Building Permit,,,2025-12-11
60456,25TMP-108979,fort worth,"7124 BOB HANGER ST, Fort Worth TX 76179",Residential Remodel Construction Permit,,,2025-12-11
60455,PB25-17020,fort worth,"1207 ROARING SPRINGS RD, FORT WORTH TX 76114",Residential Remodel Construction Permit,,,2025-12-11
60454,PB25-17003,fort worth,"15101 RAVENS WAY, Fort Worth TX 76262",Residential Accessory Addition Permit,,,2025-12-11
60451,PB25-17031,fort worth,"1549 HUNTING GREEN DR, Fort Worth TX 76134",Residential Remodel Construction Permit,,,2025-12-11
60440,PB25-16982,fort worth,"8513 TANGLERIDGE DR, Fort Worth TX 76123",Residential Remodel Construction Permit,,,2025-12-11
60433,PB25-16979,fort worth,"1264 MOUNTAIN AIR TRL, Fort Worth TX 76131",Residential Remodel Construction Permit,,,2025-12-11
60419,PB25-17018,fort worth,"1808 MARTEL AVE, Fort Worth TX 76103",Residential Remodel Construction Permit,,,2025-12-11
60416,PB25-17017,fort worth,"1205 ROARING SPRINGS RD, FORT WORTH TX 76114",Residential Remodel Construction Permit,,,2025-12-11
60411,PB25-16981,fort worth,"7001 GREENVIEW CIR N, Fort Worth TX 76120",Residential Remodel Construction Permit,,,2025-12-11
60377,PB25-17025,fort worth,"3756 MISTY MEADOW DR, Fort Worth TX 76133",Residential Remodel Construction Permit,,,2025-12-11
59313,RES-PLM-25-008745,dallas,"3950 HIGH SUMMIT DR, Dallas TX 75244",Residential Plumbing Permit,Re route kitchen drain line from under foundation to sewer main line in front yard. Install double two way cleanout where kitchen drain line meets main line in front yard. For kitchen connection under beam we will excavate small access and tunnel 3 feet to expose vent 90 and re repipe to the exterior. Cleanout is in a t wall with paneling and recommend digging under to grab kitchen drain to eliminate wall repairs,,2025-12-11
59310,COM-ELC-25-003585,dallas,"3620 DALLAS FT WORTH TPKE, Dallas TX 75211",Commercial Electrical Permit,ELECTRICAL WIRING NEW CONSTRUCTION,,2025-12-11
59302,RES-ELC-25-005105,dallas,"7676 CHALKSTONE DR, Dallas TX 75248",Residential Electrical Permit,ELECTRICAL FOR ALTERATION/ADDITION,,2025-12-11
59298,COM-ELC-25-003588,dallas,"14785 PRESTON RD, 750, Dallas TX 75254",Commercial Electrical Permit,Electrical remodel,,2025-12-11
59292,RES-ACC-25-000931,dallas,"7410 KENWELL ST, Dallas TX 75209",Residential Accessory Structure Permit,8.5' Tall wood fence metal post.,,2025-12-11
59283,RES-ELC-25-005106,dallas,"5802 MARQUITA AVE, Dallas TX 75206",Residential Electrical Permit,"Patio cover with proof, Electrical and gas fireplace",,2025-12-11
59279,RES-ELC-25-005128,dallas,"531 BROOKHURST DR, Dallas TX 75218",Residential Electrical Permit,ADDITION TO SFD,,2025-12-11
59278,RES-ALT-ADD-25-001391,dallas,"4008 DAVID PHILLIPS ST, Dallas TX 75227",Residential Alteration Addition Permit,FIRE REMEDIATION Remove all attic framing structure Replace all attic framing structure Replace Decking ReRoof home,,2025-12-11
59277,RES-PLM-25-008766,dallas,"5503 DRUID LN, Dallas TX 75209",Residential Plumbing Permit,Single Family new construction plumbing,,2025-12-11
59274,25TMP-145746,dallas,"7568 W WHEATLAND RD, Dallas TX 75249",Commercial Alteration Addition Permit,,,2025-12-11
30510,25TMP-142991,dallas,"8834 BOUNDBROOK AVE, Dallas TX 75243",Residential Alteration Addition Permit,Building shed,,2025-12-11
59264,RES-PLM-25-008738,dallas,"10559 GOODING DR, Dallas TX 75229",Residential Plumbing Permit,New Construction Plumbing,,2025-12-11
59256,COM-ALT-ADD-25-001907,dallas,"2821 TURTLE CREEK BLVD, Dallas TX 75219",Commercial Alteration Addition Permit,16 x 16 Staging permit,,2025-12-11
59243,COM-ELC-25-003580,dallas,"4228 N CENTRAL EXPY, 350, Dallas TX 75206",Commercial Electrical Permit,Interior Electrical Remodel,,2025-12-11
59240,RES-ACC-25-000930,dallas,"5117 ELSBY AVE, Dallas TX 75209",Residential Accessory Structure Permit,8' tall Wood Fence Metal Post.,,2025-12-11
59228,COM-ELC-25-003577,dallas,"2000 MCKINNEY AVE, 2075, Dallas TX 75201",Commercial Electrical Permit,electrical remodel of one office.,,2025-12-11
59219,SITEPR-25-000138,dallas,"10107 CAYUGA DR, Dallas TX 75228",Site Plan Review,SITEPLAN REVIEW FOR A NEW CONSTRUCTION AUTOMOTIVE STORAGE GARAGE PREVIOUSLY SUBMITTED,,2025-12-11
59218,25TMP-145275,dallas,"6661 GREENSPAN AVE, Dallas TX 75232",Commercial Alteration Addition Permit,"remodel interior elementary school vestibule, clinic and administration office area. replacing roof and roof mechanical.",,2025-12-11
59215,25TMP-145525,dallas,"7708 CHALKSTONE DR, Dallas TX 75248",Residential Pool/Spa Permit,"Removal of current fiberglass pool and decking. Excavation and construction of new gunite pool, decking, and turf. Relocation of HVAC unit and pool equipment.",,2025-12-11
59212,RES-ELC-25-005130,dallas,"1139 RIVERWOOD RD, Dallas TX 75217",Residential Electrical Permit,ELECTRICAL NEW CONSTRUCTION,,2025-12-11
59201,RES-NEW-25-001435,dallas,"11724 JAMESTOWN RD, Dallas TX 75230",Residential New Construction Permit,SINGLE FAMILY DEVELOPMENT  FOUNDATION FRAMING ELECTRCAL MECHANICAL LANDSCAPING WORK FENCE,,2025-12-11
59200,25TMP-145712,dallas,"519 CORDOVA ST, Dallas TX 75223",Residential Alteration Addition Permit,Repointing of bricks in two  17”x17”x98” front pilars connected by a 12’x8”x 30”balustrade and two portocoche pilars 21”x21”x98” requiring complete disassembly to install aluminum ties .,,2025-12-11
59197,25TMP-145651,dallas,"723 N MARSALIS AVE, Dallas TX 75203",Residential Accessory Structure Permit,We plan to install a 132ft black wrought iron fence and a pedestrian gate in the front of our property at 723 N Marsalis in order to improve the safety for the tenants within,,2025-12-11
59189,25TMP-144200,dallas,"9517 ALDWICK DR, Dallas TX 75238",Residential Alteration Addition Permit,"Remove the roof over part of the house and attached garage and add a second story to that part only. Second floor addition will consist of a full bath and a half bath, 2 bedrooms and a game room. There is no change to the footprint of the structure. We are not adding any lot coverage. I have provided detailed architectural plans and engineering plans stamped by a registered engineer. Also included is a letter from the engineer stating that the foundation is strong enough to support the additional load.",,2025-12-11
59187,25TMP-144833,dallas,"2110 MOUNTAIN LAKE RD, Dallas TX 75224",Residential Alteration Addition Permit,Installation of Pre-Fabricated Accessory Metal Building. To be installed on existing concrete foundation.,,2025-12-11
59186,COM-ACC-25-000238,dallas,"10030 CAYUGA DR, Dallas TX 75228",Commercial Accessory Structure Permit,"We plan to install 175 ft of 8ft slat wooden fence screening, for the existing chain-link fence, along the street front in order to improve visibility from the road, and the visually improve the site.",,2025-12-11
59180,COM-NEW-25-000291,dallas,"612 E 5TH ST, Dallas TX 75203",Commercial New Construction Permit,MULTI FAMILY NEW CONSTRUCTION,,2025-12-11
59169,RES-ELC-25-005112,dallas,"6307 MARTEL AVE, Dallas TX 75214",Residential Electrical Permit,install all electrical new construction,,2025-12-11
59161,25TMP-145884,dallas,"6366 MALCOLM DR, Dallas TX 75214",Residential New Construction Permit,This project is for building a new construction single family home.,,2025-12-11
59158,COM-NEW-25-000292,dallas,"612 E 5TH ST, Dallas TX 75203",Commercial New Construction Permit,MULTI FAMILY NEW CONSTRUCTION,,2025-12-11
59155,RES-ELC-25-005123,dallas,"4827 BALDWIN ST, Dallas TX 75210",Residential Electrical Permit,New Construction,,2025-12-11
59151,RES-ELC-25-005098,dallas,"934 STEVENSWOOD CT, Dallas TX 75208",Residential Electrical Permit,Electrical for Patio,,2025-12-11
59149,RES-ELC-25-005110,dallas,"4521 WEDGECREST DR, Dallas TX 75232",Residential Electrical Permit,14 oulets 6 switches 6 lights wire up addition,,2025-12-11
59136,25TMP-145861,dallas,"8725 LAKE JUNE RD, Dallas TX 75217",Commercial Plumbing Permit,"Plumbing rough in for an oil change buisness. Plumbing 1/2 bathroom, oil interceptor, and 2 floor drain traps",,2025-12-11
59132,RES-ELC-25-005118,dallas,"5838 MONTICELLO AVE, Dallas TX 75206",Residential Electrical Permit,install ev charger next to panel in garage,,2025-12-11
59118,RES-ELC-25-005104,dallas,"1934 ELMWOOD BLVD, Dallas TX 75224",Residential Electrical Permit,ELECTRICAL FOR ADDITION,,2025-12-11
59115,25TMP-145402,dallas,"765 EVERGREEN HILL RD, Dallas TX 75208",Residential Alteration Addition Permit,Modify interior layout to combine 2 bedrooms into 1 and combine 2 bathrooms into 1,,2025-12-11
59089,RES-ELC-25-005116,dallas,"2801 N MASTERS DR, Dallas TX 75227",Residential Electrical Permit,Remodeling,,2025-12-11
59088,COM-ELC-25-003567,dallas,"8350 N CENTRAL EXPY, 850, Dallas TX 75206",Commercial Electrical Permit,Electrical remodel,,2025-12-11
59083,COM-ELC-25-003574,dallas,"1350 MANUFACTURING ST, 120, Dallas TX 75207",Commercial Electrical Permit,Remodel electrical for pizza place,,2025-12-11
59082,RES-MEC-25-004000,dallas,"654 ANNAROSE DR, Dallas TX 75232",Residential Mechanical Permit,remodeled ductwork,,2025-12-11
59080,25TMP-145586,dallas,"8072 MOSS MEADOWS DR, Dallas TX 75231",Residential Solar/PV Permit,Solar Panels attached to existing patio cover/ Carport,,2025-12-11
58953,RES-ALT-ADD-25-001392,dallas,"5638 JUNIUS ST, Dallas TX 75214",Residential Alteration Addition Permit,"Pour pier and beam foundation, joist flooring, frame wall and ceiling, roof shingles, 1door,1 window, insulate, run one ceiling fan & outlet, sheetrock, install siding.",,2025-12-11
59079,COM-ELC-25-003570,dallas,"712 N WASHINGTON AVE, 501, Dallas TX 75246",Commercial Electrical Permit,Electrical remodeling adding and moving new receptacles and lighting,,2025-12-11
59073,RES-PLM-25-008720,dallas,"5351 EMERSON AVE, Dallas TX 75209",Residential Plumbing Permit,We will we be repiping water line for kitchen half bath and master under home and as much as possible for the garage conversion and laundry.,,2025-12-11
59072,COM-ELC-25-003569,dallas,"712 N WASHINGTON AVE, 519, Dallas TX 75246",Commercial Electrical Permit,Electrical remodel move and add new receptacles and lighting.,,2025-12-11
59059,RES-ELC-25-005107,dallas,"7422 FORNEY RD, Dallas TX 75227",Residential Electrical Permit,New wiring for new construction home,,2025-12-11
59052,COM-NEW-25-000290,dallas,"612 E 5TH ST, Dallas TX 75203",Commercial New Construction Permit,MULTI FAMILY NEW CONSTRUCTION,,2025-12-11
59045,RES-ELC-25-005095,dallas,"8247 MERRIWEATHER DR, Dallas TX 75236",Residential Electrical Permit,"1-Addition, in 1 single house, expanding wall.",,2025-12-11
59043,RES-ALT-ADD-25-001389,dallas,"719 S STOREY ST, Dallas TX 75203",Residential Alteration Addition Permit,Interior & Exterior Remodel w/Re-roof (no additional sqft),,2025-12-11
59042,COM-MEC-25-001340,dallas,"4909 ROSS AVE, 100, Dallas TX 75206",Commercial Mechanical Permit,"Setting Roof Top Units, Duct and Grills, Hanging Kitchen Hoods, Kitchen Duct, and kitchen fans.",,2025-12-11
59017,25TMP-145074,dallas,"5827 ST MARKS CIR, Dallas TX 75230",Residential Mechanical Permit,"HVAC Change Out – Remove and replace 1 full 3-ton, 2-stage heat pump system including outdoor unit (27TPA836), indoor air handler (FT5ANXC36), electric heat kit (KFFEH2601C10), and thermostat (EB-STATE6ICR-01). Attic installation. No new duct work.",,2025-12-11
59016,25TMP-145733,dallas,"4139 W RED BIRD LN, Dallas TX 75237",Commercial Alteration Addition Permit,"Park Construction addition. New sidewalk, Playground and amenities",,2025-12-11
59013,RES-ELC-25-005102,dallas,"1311 CEDAR HILL AVE, Dallas TX 75208",Residential Electrical Permit,electrical for new construction,,2025-12-11
59006,ADDR-25-000670,dallas,United States,Address Assignment-Change,"Good afternoon, I am reaching out regarding the address issued for 600 N Turner Ave. When we attempt to apply for permits through the City of Dallas system, the address does not appear in the database, which prevents us from submitting any permit applications. We kindly request a new address so it becomes active in the permitting system. Attached the survey and site plan for this property, along with any additional documents needed to complete the address update. Property Information: 600 N Turner Ave, Dallas, TX 75208 Lot 10–12, Block 3477, Dallas Owner: Arham Land Holdings LLC Contact: Dayana Aguilera Phone: (214) 6769116 Email: dayana@apexpluscapital.com Thank you for your time and assistance. Best regards, Dayana Aguilera",,2025-12-11
59004,COM-PLM-25-003147,dallas,"2534 ROYAL LN, 110, Dallas TX 75229",Commercial Plumbing Permit,Gas test - no repair. Gas off due to inoccupation,,2025-12-11
58998,RES-ALT-ADD-25-001393,dallas,"12209 PRESTONRIDGE RD, Dallas TX 75230",Residential Alteration Addition Permit,NEW SINGLE-FAMILY ADDITION/ALTERATION,,2025-12-11
58991,RES-PLM-25-008740,dallas,"6054 PENROSE AVE, Dallas TX 75206",Residential Plumbing Permit,New Construction Plumbing,,2025-12-11
58988,RES-ACC-25-000932,dallas,"2826 OAK LN, Dallas TX 75215",Residential Accessory Structure Permit,Cedar 8ft Fence,,2025-12-11
58962,COM-ELC-25-003568,dallas,"712 N WASHINGTON AVE, 524, Dallas TX 75246",Commercial Electrical Permit,"Electrical remodel, adding and moving  receptacles and lighting.",,2025-12-11
58952,25TMP-145667,dallas,"1410 S BUCKNER BLVD, Dallas TX 75217",Commercial Alteration Addition Permit,Demo Wall and Back Room,,2025-12-11
60374,PB25-16983,fort worth,"1808 MERRICK ST, Fort Worth TX 76107",Residential Remodel Construction Permit,,,2025-12-11
60255,PB25-17004,fort worth,"1301 CIRCLE PARK BLVD, Fort Worth TX 76164",Commercial Remodel Building Permit,,,2025-12-11
60266,PB25-17026,fort worth,"4728 BRACKEN DR, Fort Worth TX 76137",Residential Remodel Construction Permit,,,2025-12-11
60272,PB25-17014,fort worth,"1203 ROARING SPRINGS RD, FORT WORTH TEXAS 76114",Residential Remodel Construction Permit,,,2025-12-11
60268,PB25-17005,fort worth,"5201 THRESHING DR, Fort Worth TX 76179",Residential Remodel Construction Permit,,,2025-12-11
60295,PB25-17009,fort worth,"7151 HARRIS LEGACY DR, Fort Worth TX 76140 United States",Commercial Remodel Building Permit,,,2025-12-11
60305,PB25-17001,fort worth,"8425 WASHITA WAY, Fort Worth TX 76137",Residential Remodel Construction Permit,,,2025-12-11
60306,PB25-17021,fort worth,"1209 ROARING SPRINGS RD, FORT WORTH TX 76114",Residential Remodel Construction Permit,,,2025-12-11
60316,PB25-17023,fort worth,"1215 ROARING SPRINGS RD, FORT WORTH TX 76114",Residential Remodel Construction Permit,,,2025-12-11
60369,PB25-16997,fort worth,"5903 E LANCASTER AVE, Fort Worth TX 76112",Residential Remodel Construction Permit,,,2025-12-11
60320,PB25-17024,fort worth,"5901 OZARK DR, Fort Worth TX 76131",Residential Remodel Construction Permit,,,2025-12-11
60323,25TMP-109032,fort worth,"201 AMERICAN CONCOURSE, Fort Worth TX 76106",Commercial Remodel Building Permit,,,2025-12-11
60324,PB25-17012,fort worth,"4104 PERIWINKLE DR, Fort Worth TX 76137",Residential Remodel Construction Permit,,,2025-12-11
60336,PB25-17032,fort worth,"816 NORTHWOOD RD, Fort Worth TX 76107",Residential Remodel Construction Permit,,,2025-12-11
60367,25TMP-109213,fort worth,"4932 GEDDES AVE, Fort Worth TX 76107",Commercial Remodel Building Permit,,,2025-12-11
60666,PB25-16955,fort worth,"4204 BUCKEYE ST, Fort Worth TX 76137",Residential Remodel Construction Permit,,,2025-12-10
60663,PB25-16944,fort worth,"1220 CONSTANCE DR, Fort Worth TX 76131",Residential Remodel Construction Permit,,,2025-12-10
60662,PB25-16948,fort worth,"1220 CONSTANCE DR, Fort Worth TX 76131",Residential Remodel Reroof Permit,,,2025-12-10
60644,PB25-16950,fort worth,"11816 MOORHEN CIR, Fort Worth TX 76244",Residential Remodel Construction Permit,,,2025-12-10
60630,PB25-16936,fort worth,"4421 BRAMPTON CT, Fort Worth TX 76116",Residential Remodel Construction Permit,,,2025-12-10
60626,PB25-16946,fort worth,"3233 THANNISCH AVE, Fort Worth TX 76105",Residential Remodel Construction Permit,,,2025-12-10
60608,PB25-16960,fort worth,"8144 WOODVALE RD, Fort Worth TX 76135",Residential Remodel Construction Permit,,,2025-12-10
60603,PB25-16954,fort worth,"10221 WILDFOWL DR, Fort Worth TX 76177",Residential Remodel Construction Permit,,,2025-12-10
60601,PB25-16962,fort worth,"6050 VALLEYVIEW DR, Fort Worth TX 76116",Residential Remodel Construction Permit,,,2025-12-10
60593,PB25-16978,fort worth,"4229 KENWOOD CT, Fort Worth TX 76103",Residential Remodel Reroof Permit,,,2025-12-10
60591,PB25-16963,fort worth,"8144 WOODVALE RD, Fort Worth TX 76135",Residential Remodel Construction Permit,,,2025-12-10
60581,25TMP-104501,fort worth,"11477 RIDGEVIEW CIR, Fort Worth TX 76244",Residential Remodel Construction Permit,,,2025-12-10
60672,PB25-16942,fort worth,"8625 DEEPWOOD LN, Fort Worth TX 76123",Residential Remodel Construction Permit,,,2025-12-10
60548,PB25-16966,fort worth,"216 PACK SADDLE TRL, Fort Worth TX 76108",Residential Remodel Construction Permit,,,2025-12-10
60556,PB25-16964,fort worth,"620 LONG IRON DR, Fort Worth TX 76108",Residential Addition Permit,,,2025-12-10
60557,PB25-16941,fort worth,"2313 6TH AVE, Fort Worth TX 76110",Residential Remodel Construction Permit,,,2025-12-10
60558,PB25-16929,fort worth,"4313 MARTIN ST, Fort Worth TX 76119",Residential Remodel Construction Permit,,,2025-12-10
60563,PB25-16949,fort worth,"8954 RIVERFALLS DR, Fort Worth TX 76118",Residential Remodel Construction Permit,,,2025-12-10
60683,PB25-16947,fort worth,"1701 CANTERBURY CIR, Fort Worth TX 76112",Residential Remodel Construction Permit,,,2025-12-10
60676,PB25-16940,fort worth,"1624 THUNDERBIRD DR, Fort Worth TX 76052",Residential Remodel Construction Permit,,,2025-12-10
60673,25TMP-108691,fort worth,"1050 5TH AVE, Fort Worth TX 76104",Commercial Remodel Building Permit,,,2025-12-10
60668,PB25-16937,fort worth,"5467 MEADOWBROOK DR, Fort Worth TX 76112",Residential Remodel Construction Permit,,,2025-12-10
60665,PB25-16977,fort worth,"4229 CAMP BOWIE BLVD, SUITE 200, Fort Worth TX 76107",Commercial Remodel Building Permit,,,2025-12-10
30231,COM-ALT-ADD-25-001878,dallas,"1707 SAN JACINTO ST, FL6, Dallas TX 75201",Commercial Alteration Addition Permit,Reconstruct section of fire damage historic building and construct a new connection from chapel to Criswell building. And remodel of the connection of the Criswell building.,,2025-12-09
30068,RES-ACC-25-000925,dallas,"4006 BAKER AVE, Dallas TX 75212",Residential Accessory Structure Permit,INSTALLATION OF 6 FT FENCE AND SLIDING GATE FOR HOME. APPROVED BY BOARD OF ADJUSTMENTS.,,2025-12-09
30332,COM-ELC-25-003514,dallas,"7907 ALOCASIA DR, Dallas TX 75080",Commercial Electrical Permit,"This is an electrical service for a temporary traffic signal at Coit and Alacosia Dr. The original service was hit by a car and we have replaced the pole and service. The service is built on the wood traffic signal pole. - **This permit authorizes work only for the approved trade. Construction, erection, or alteration of any structure will require a separate permit and may require additional trade permits. **",,2025-12-09
30328,COM-PLM-25-003081,dallas,"11540 E NORTHWEST HWY, Dallas TX 75218",Commercial Plumbing Permit,"Putting natural gas system on test to check for leaks   System is on test itilizing compresed air This permit authorizes work only for the approved trade. Construction, erection, or alteration of any structure will require a separate permit and may require additional trade permits.",,2025-12-09
30318,COM-ELC-25-003528,dallas,"3416 GREENVILLE AVE, Dallas TX 75206",Commercial Electrical Permit,"Install new lights and receptacles - **This permit authorizes work only for the approved trade. Construction, erection, or alteration of any structure will require a separate permit and may require additional trade permits.**",,2025-12-09
30290,25TMP-143548,dallas,"12100 PRESTON RD, 100, Dallas TX 75230",Commercial Alteration Addition Permit,,,2025-12-09
30317,COM-ELC-25-003529,dallas,"10697 GARLAND RD, Dallas TX 75218",Commercial Electrical Permit,"Install electrical service for a Charter power supply cabinet. - **This permit authorizes work only for the approved trade. Construction, erection, or alteration of any structure will require a separate permit and may require additional trade permits. **",,2025-12-09
30293,RES-PLM-25-008572,dallas,"6211 SYMPHONY LN, Dallas TX 75227",Residential Plumbing Permit,Gas test - no repair. Gas turned off due to inoccupation.,,2025-12-09
30288,RES-ELC-25-005009,dallas,"9026 EUSTIS AVE, Dallas TX 75218",Residential Electrical Permit,install all electrical new construction,,2025-12-09
30270,RES-ALT-ADD-25-001368,dallas,"2004 ANGELICA WAY, Dallas TX 75217",Residential Alteration Addition Permit,"In this project in this project we will build a shed/shop in the backyard. this structure frame will be Metal. exterior walls will be covered by Hardy board siding, and a flat metal Gable roof. interior will be unfinished. no plumbing work or mechanical work will be done at this time. basic electrical work we'll be done at this time.",,2025-12-09
30264,RES-PLM-25-008581,dallas,"6915 MISSION TEJAS DR, Dallas TX 75228",Residential Plumbing Permit,"NEW CONSTRUCTION PLUMBING ROUGH IN, TOP OUT, FINAL TRIM",,2025-12-09
30249,RES-ROOF-25-001314,dallas,"4008 DAVID PHILLIPS ST, Dallas TX 75227",Residential Roofing Permit,FIRE REMEDIATION Remove all attic framing structure Replace all attic framing structure Replace Decking ReRoof home,,2025-12-09
30241,25TMP-143682,dallas,United States,Commercial Alteration Addition Permit,,,2025-12-09
30298,COM-MEC-25-001304,dallas,"4020 MAPLE AVE, 575A, Dallas TX 75219",Commercial Mechanical Permit,hVAC REMODEL,,2025-12-09
30224,RES-ALT-ADD-25-001369,dallas,"3911 SPRING AVE, Dallas TX 75210",Residential Alteration Addition Permit,re construction of the wall that contains brick in the garage,,2025-12-09
30215,RES-ELC-25-005011,dallas,"3207 LATHAM DR, Dallas TX 75229",Residential Electrical Permit,INSTALLING ELECTRIC FOR NEW CONSTRUCTION - THIS PERMIT WILL SUBSTITUTE PREVIOUS ELECTRICAL PERMIT,,2025-12-09
30064,25TMP-142564,dallas,"6543 TIOGA CIR, Dallas TX 75241",Residential Accessory Structure Permit,new fence,,2025-12-09
30212,COM-ELC-25-003516,dallas,"7310 LEMMON AVE, Dallas TX 75209",Commercial Electrical Permit,Service drive remodel,,2025-12-09
30204,25TMP-143428,dallas,"6916 AZALEA LN, Dallas TX 75230",Residential New Construction Permit,"New single-family residential construction - Two-story custom home with attached garage, covered porches, and covered patio.",,2025-12-09
30192,RES-ACC-25-000924,dallas,"4002 BAKER AVE, Dallas TX 75212",Residential Accessory Structure Permit,INSTALLATION OF 6FT HIGH METAL FENCE APPROVED BY BOARD OF ADJUSTMENT.,,2025-12-09
30110,25TMP-143634,dallas,"6543 TIOGA CIR, Dallas TX 75241",Residential Accessory Structure Permit,6ft wood fence no retainer wall,,2025-12-09
30115,RES-NEW-25-001416,dallas,"6331 STICHTER AVE, Dallas TX 75230",Residential New Construction Permit,Residential New Construction,,2025-12-09
30128,25TMP-143276,dallas,"7823 UMPHRESS RD, Dallas TX 75217",Residential Accessory Structure Permit,Rear fence currently has metal R Panel we will be converting it to cedar to meet code requirements at 8 feet in height.,,2025-12-09
30134,RES-ROOF-25-001311,dallas,"3609 MT WASHINGTON ST, Dallas TX 75211",Residential Roofing Permit,"re roof only, no redeck. tear off 1 layer, install 25 yr 3 tab shingles.",,2025-12-09
30180,RES-ACC-25-000926,dallas,"123 S MONTCLAIR AVE, Dallas TX 75208",Residential Accessory Structure Permit,"Installation of 85 linear feet of 8ft high cedar wood fence with steel posts, board on board style, pedestrian gate, swing gate",,2025-12-09
30058,RES-ALT-ADD-25-001367,dallas,"10433 REMINGTON LN, Dallas TX 75229",Residential Alteration Addition Permit,Add detached garage with second floor office,,2025-12-09
30055,RES-PLM-25-008571,dallas,"6610 DELOACHE AVE, Dallas TX 75225",Residential Plumbing Permit,New construction home,,2025-12-09
30088,RES-PLM-25-008575,dallas,"6136 BRANDEIS LN, Dallas TX 75214",Residential Plumbing Permit,RESIDENTIAL REMODEL,,2025-12-09
30090,RES-ELC-25-005008,dallas,"7239 FENTON DR, Dallas TX 75231",Residential Electrical Permit,Install Electrical for new Home Addition,,2025-12-09
30097,25TMP-143618,dallas,"1607 SAVOY ST, Dallas TX 75224",Residential Alteration Addition Permit,Remodeling the house with the same structure as it was before.,,2025-12-09
30138,25TMP-143474,dallas,"7611 PARK LN, Dallas TX 75225",Site Plan Review,"adding seven additional classrooms, storm shelter, restrooms, reception and lobby areas - multipurpose room",,2025-12-09
